customer_id,age,annual_income,total_trips,avg_spend_per_trip,loyalty_years,membership_tier,num_complaints,days_since_last_trip,onboard_spend,referrals_made,cancelled_trips
C001,28,45000,2,1200,1,Silver,0,45,300,1,0
C002,52,120000,18,8500,12,Platinum,1,15,2100,5,1
C003,35,68000,7,3200,4,Gold,0,30,850,2,0
C004,61,95000,22,9500,15,Platinum,2,90,2500,3,2
C005,24,32000,1,800,1,Silver,0,20,150,0,0
C006,44,85000,12,6500,8,Gold,1,25,1600,4,1
C007,38,72000,9,4100,5,Gold,0,35,1000,2,0
C008,56,110000,20,8900,13,Platinum,1,12,2300,6,1
C009,29,41000,3,1500,2,Silver,0,40,350,1,0
C010,47,92000,14,7200,9,Gold,0,20,1800,3,0
C011,33,58000,5,2500,3,Silver,0,55,600,1,0
C012,65,105000,25,10200,16,Platinum,3,100,2800,2,3
C013,41,78000,10,5000,6,Gold,0,28,1200,3,0
C014,27,38000,2,1100,1,Silver,0,50,250,0,0
C015,54,115000,21,9200,14,Platinum,1,18,2400,5,1
C016,36,64000,6,2900,4,Silver,0,42,720,2,0
C017,49,88000,15,7500,10,Gold,1,22,1900,4,1
C018,31,48000,3,1700,2,Silver,0,38,400,1,0
C019,58,122000,23,9800,15,Platinum,2,80,2600,3,2
C020,42,80000,11,5500,7,Gold,0,32,1350,2,0
C021,26,35000,1,900,1,Silver,0,25,180,0,0
C022,53,108000,19,8700,12,Platinum,1,14,2200,5,1
C023,37,70000,8,3800,5,Gold,0,33,950,2,0
C024,62,98000,24,9600,16,Platinum,2,85,2700,3,2
C025,30,44000,3,1400,2,Silver,0,48,320,1,0
C026,45,86000,13,6800,8,Gold,1,27,1650,3,1
C027,39,74000,9,4300,5,Gold,0,36,1050,2,0
C028,57,112000,21,9100,14,Platinum,1,16,2350,5,1
C029,28,40000,2,1300,1,Silver,0,52,280,0,0
C030,50,96000,16,7800,10,Gold,0,21,2000,4,0
C031,34,60000,5,2700,3,Silver,0,58,650,1,0
C032,64,102000,24,10000,15,Platinum,2,95,2750,2,2
C033,43,82000,11,5700,7,Gold,0,30,1400,3,0
C034,25,33000,1,750,1,Silver,0,22,130,0,0
C035,55,118000,22,9400,14,Platinum,1,17,2450,5,1
C036,40,76000,10,4700,6,Gold,0,29,1150,2,0
C037,48,90000,14,7000,9,Gold,1,24,1750,3,1
C038,32,50000,4,1900,2,Silver,0,44,450,1,0
C039,60,125000,26,10500,17,Platinum,2,75,2900,4,2
C040,46,88000,13,6600,8,Gold,0,26,1600,3,0
C041,27,36000,2,1000,1,Silver,0,28,200,0,0
C042,51,100000,17,8000,11,Platinum,1,19,2050,4,1
C043,38,72000,8,4000,5,Gold,0,34,980,2,0
C044,63,100000,23,9700,15,Platinum,2,88,2650,3,2
C045,29,42000,3,1600,2,Silver,0,46,370,1,0
C046,44,84000,12,6400,8,Gold,1,26,1580,3,1
C047,36,66000,7,3400,4,Gold,0,40,830,2,0
C048,58,114000,20,9000,13,Platinum,1,13,2320,5,1
C049,26,34000,1,850,1,Silver,0,23,160,0,0
C050,52,110000,18,8600,12,Platinum,1,16,2150,4,1
C051,35,62000,6,2800,3,Silver,0,56,680,1,0
C052,66,108000,26,10400,17,Platinum,3,105,2850,2,3
